date,symbol,asset_type,strategy,position,close
2024-08-27,BBCA,stock_id,Buy & Hold (benchmark),1.0,9371.5009765625
2024-08-28,BBCA,stock_id,Buy & Hold (benchmark),1.0,9509.31640625
2024-08-29,BBCA,stock_id,Buy & Hold (benchmark),1.0,9394.470703125
2024-08-30,BBCA,stock_id,Buy & Hold (benchmark),1.0,9486.34765625
2024-09-02,BBCA,stock_id,Buy & Hold (benchmark),1.0,9440.408203125
2024-09-03,BBCA,stock_id,Buy & Hold (benchmark),1.0,9348.53125
2024-09-04,BBCA,stock_id,Buy & Hold (benchmark),1.0,9463.376953125
2024-09-05,BBCA,stock_id,Buy & Hold (benchmark),1.0,9417.439453125
2024-09-06,BBCA,stock_id,Buy & Hold (benchmark),1.0,9463.376953125
2024-09-09,BBCA,stock_id,Buy & Hold (benchmark),1.0,9440.408203125
2024-09-10,BBCA,stock_id,Buy & Hold (benchmark),1.0,9509.31640625
2024-09-11,BBCA,stock_id,Buy & Hold (benchmark),1.0,9578.2255859375
2024-09-12,BBCA,stock_id,Buy & Hold (benchmark),1.0,9624.1640625
2024-09-13,BBCA,stock_id,Buy & Hold (benchmark),1.0,9578.2255859375
2024-09-17,BBCA,stock_id,Buy & Hold (benchmark),1.0,9647.1328125
2024-09-18,BBCA,stock_id,Buy & Hold (benchmark),1.0,9761.9794921875
2024-09-19,BBCA,stock_id,Buy & Hold (benchmark),1.0,10014.6435546875
2024-09-20,BBCA,stock_id,Buy & Hold (benchmark),1.0,9899.7958984375
2024-09-23,BBCA,stock_id,Buy & Hold (benchmark),1.0,10060.58203125
2024-09-24,BBCA,stock_id,Buy & Hold (benchmark),1.0,9922.765625
2024-09-25,BBCA,stock_id,Buy & Hold (benchmark),1.0,9968.7041015625
2024-09-26,BBCA,stock_id,Buy & Hold (benchmark),1.0,9830.888671875
2024-09-27,BBCA,stock_id,Buy & Hold (benchmark),1.0,9784.94921875
2024-09-30,BBCA,stock_id,Buy & Hold (benchmark),1.0,9486.34765625
2024-10-01,BBCA,stock_id,Buy & Hold (benchmark),1.0,9693.072265625
2024-10-02,BBCA,stock_id,Buy & Hold (benchmark),1.0,9647.1328125
2024-10-03,BBCA,stock_id,Buy & Hold (benchmark),1.0,9601.1943359375
2024-10-04,BBCA,stock_id,Buy & Hold (benchmark),1.0,9624.1640625
2024-10-07,BBCA,stock_id,Buy & Hold (benchmark),1.0,9463.376953125
2024-10-08,BBCA,stock_id,Buy & Hold (benchmark),1.0,9555.255859375
2024-10-09,BBCA,stock_id,Buy & Hold (benchmark),1.0,9578.2255859375
2024-10-10,BBCA,stock_id,Buy & Hold (benchmark),1.0,9647.1328125
2024-10-11,BBCA,stock_id,Buy & Hold (benchmark),1.0,9532.2861328125
2024-10-14,BBCA,stock_id,Buy & Hold (benchmark),1.0,9647.1328125
2024-10-15,BBCA,stock_id,Buy & Hold (benchmark),1.0,9761.9794921875
2024-10-16,BBCA,stock_id,Buy & Hold (benchmark),1.0,9624.1640625
2024-10-17,BBCA,stock_id,Buy & Hold (benchmark),1.0,9853.857421875
2024-10-18,BBCA,stock_id,Buy & Hold (benchmark),1.0,9876.826171875
2024-10-21,BBCA,stock_id,Buy & Hold (benchmark),1.0,9807.9189453125
2024-10-22,BBCA,stock_id,Buy & Hold (benchmark),1.0,9647.1328125
2024-10-23,BBCA,stock_id,Buy & Hold (benchmark),1.0,9784.94921875
2024-10-24,BBCA,stock_id,Buy & Hold (benchmark),1.0,9830.888671875
2024-10-25,BBCA,stock_id,Buy & Hold (benchmark),1.0,9876.826171875
2024-10-28,BBCA,stock_id,Buy & Hold (benchmark),1.0,9739.009765625
2024-10-29,BBCA,stock_id,Buy & Hold (benchmark),1.0,9647.1328125
2024-10-30,BBCA,stock_id,Buy & Hold (benchmark),1.0,9509.31640625
2024-10-31,BBCA,stock_id,Buy & Hold (benchmark),1.0,9417.439453125
2024-11-01,BBCA,stock_id,Buy & Hold (benchmark),1.0,9578.2255859375
2024-11-04,BBCA,stock_id,Buy & Hold (benchmark),1.0,9532.2861328125
